Reference Number,Date Entered,Concern Address,Disposition,Concern Type,Concern Description,Citation Fine Total,Balance Remaining
RAC-2021-00131,2/25/2021,100 S STARVATION FLATS,Issued Citation,Vacation Rental Noise/Party,RP states music is being played very loudly.  Also notes that it may not be audible at the street due to the size of the property but very loud from his house next door.,500,0
RAC-2021-01326,7/25/2021,101 STONY CREEK RD,No Issue,Vacation Rental Noise/Party,call came in about VRG talking on the back porch at 101 stony creek,0,0
RAC-2021-01076,7/6/2021,1018 COLUSA LN,Issued Citation,Vacation Rental Parking,while patrolling I noticed there were multiple cars parked on the street. this home has been cited in the past on 4/11/2021 for renting with out a license among other things.,18000,18000
RAC-2021-00404,4/11/2021,1018 COLUSA WAY,Issued Citation,Vacation Rental Noise/Party,The call came in about a private home rental playing loud music.,9000,2000
RAC-2021-01650,8/27/2021,1024 CAMERON DR,Issued Citation,Vacation Rental Noise/Party,RP states loud voices/noise/party,500,500
RAC-2021-00276,3/24/2021,1068 CLUB VIEW DR,No Issue,Vacation Rental Spa after 10pm,R/P Stated the occupants were in the spa and keeping him awake.,0,0
RAC-2021-01506,8/14/2021,1068 CLUB VIEW DR,No Issue,Vacation Rental Noise/Party,12:15 a.m. - RP states loud people in hot tub,0,0
RAC-2021-00606,5/16/2021,107 ROUND DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,neighbors can`t sleep,0,0
RAC-2021-01457,8/7/2021,107 ROUND DR,No Issue,Vacation Rental Noise/Party,RP states bbq flames huge by trees and tenants are possibly intoxicated and won`t listen to RP to extinguish. Advised to call FD.,0,0
RAC-2021-01133,7/10/2021,1129 SYLVAN GLN,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP reports very Loud Music,0,0
RAC-2021-00434,4/17/2021,114 STONY CREEK DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated the occupants are in the opened garage playing pool and yelling.,0,0
RAC-2021-00726,5/31/2021,114 STONY CREEK RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated the occupants are having a party with loud music.,0,0
RAC-2021-00792,6/11/2021,114 STONY CREEK RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,yelling.,0,0
RAC-2021-01378,7/31/2021,114 STONY CREEK RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated there are 8-10 males adults talking loud and yelling.,0,0
